As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
05/Jul/2013,10.66,0.09,0.85
04/Jul/2013,10.57,0.12,1.15
03/Jul/2013,10.45,-0.06,-0.57
02/Jul/2013,10.51,0.04,0.38
01/Jul/2013,10.47,0.07,0.67
28/Jun/2013,10.40,0.05,0.48
27/Jun/2013,10.35,0.11,1.07
26/Jun/2013,10.24,0.16,1.59
25/Jun/2013,10.08,0.09,0.90
24/Jun/2013,9.99,-0.16,-1.58
21/Jun/2013,10.15,-0.08,-0.78
20/Jun/2013,10.23,-0.12,-1.16
19/Jun/2013,10.35,0.05,0.49
18/Jun/2013,10.30,0.01,0.10
17/Jun/2013,10.29,0.05,0.49
14/Jun/2013,10.24,0.10,0.99
13/Jun/2013,10.14,-0.18,-1.74
12/Jun/2013,10.32,-0.02,-0.19
11/Jun/2013,10.34,-0.17,-1.62
10/Jun/2013,10.51,0.11,1.06
07/Jun/2013,10.40,-0.04,-0.38
06/Jun/2013,10.44,-0.11,-1.04
05/Jun/2013,10.55,-0.13,-1.22
04/Jun/2013,10.68,-0.03,-0.28
03/Jun/2013,10.71,-0.08,-0.74
31/May/2013,10.79,0.10,0.94
30/May/2013,10.69,0.00,0.00
29/May/2013,10.69,-0.11,-1.02
28/May/2013,10.80,0.17,1.60
27/May/2013,10.63,0.00,0.00
24/May/2013,10.63,0.00,0.00
23/May/2013,10.63,-0.32,-2.92
22/May/2013,10.95,-0.01,-0.09
21/May/2013,10.96,0.11,1.01
17/May/2013,10.85,0.02,0.18
16/May/2013,10.83,0.08,0.74
15/May/2013,10.75,0.09,0.84
14/May/2013,10.66,0.05,0.47
13/May/2013,10.61,-0.01,-0.09
10/May/2013,10.62,0.09,0.85
08/May/2013,10.53,-0.03,-0.28
07/May/2013,10.56,0.11,1.05
06/May/2013,10.45,0.08,0.77
03/May/2013,10.37,0.11,1.07
02/May/2013,10.26,0.04,0.39
30/Apr/2013,10.22,0.00,0.00
29/Apr/2013,10.22,-0.01,-0.10
26/Apr/2013,10.23,0.01,0.10
25/Apr/2013,10.22,0.07,0.69
24/Apr/2013,10.15,0.08,0.79
23/Apr/2013,10.07,0.16,1.61
22/Apr/2013,9.91,0.08,0.81
19/Apr/2013,9.83,-0.10,-1.01
18/Apr/2013,9.93,-0.07,-0.70
17/Apr/2013,10.00,0.00,0.00
16/Apr/2013,10.00,-0.11,-1.09
15/Apr/2013,10.11,-0.05,-0.49
12/Apr/2013,10.16,-0.07,-0.68
11/Apr/2013,10.23,0.10,0.99
10/Apr/2013,10.13,0.10,1.00
09/Apr/2013,10.03,0.00,0.00
08/Apr/2013,10.03,0.01,0.10
05/Apr/2013,10.02,-0.23,-2.24
